username,face_encoding,last_seen
face_1,"[-0.10479471832513809, 0.07462088763713837, 0.1439276784658432, -0.013758441433310509, -0.022764775902032852, -0.02166622504591942, -0.08329062908887863, -0.0638970136642456, 0.07484598457813263, -0.09804157167673111, 0.22162075340747833, -0.045763567090034485, -0.17066238820552826, -0.039412640035152435, 0.03248726204037666, 0.05172211304306984, -0.09202927350997925, -0.10451462864875793, -0.04744990915060043, -0.03981911391019821, 0.05316510424017906, -0.05435604602098465, -0.019733810797333717, 0.015224712900817394, -0.17446714639663696, -0.38197776675224304, -0.06334181874990463, -0.07818351686000824, 0.008855362422764301, -0.050343841314315796, -0.015832848846912384, -0.0008088569156825542, -0.16711834073066711, -0.02706943452358246, -0.01954243704676628, 0.1799178123474121, 0.000484600430354476, -0.048462580889463425, 0.1462823897600174, -0.015525988303124905, -0.12489517778158188, -0.007168283686041832, 0.03741102293133736, 0.2375224530696869, 0.15284378826618195, 0.11843011528253555, 0.04502765089273453, -0.0840974897146225, 0.11536772549152374, -0.18492232263088226, 0.06273739039897919, 0.13796214759349823, 0.0908697247505188, 0.11267536878585815, 0.09920679032802582, -0.13596487045288086, 0.08344284445047379, 0.08376112580299377, -0.1945723593235016, 0.02736768126487732, -0.039748597890138626, 0.022449882701039314, 0.025561649352312088, -0.07450225949287415, 0.2682833969593048, 0.10287812352180481, -0.07756480574607849, -0.07553359866142273, 0.12938682734966278, -0.11723878979682922, -0.08900373429059982, 0.01749437302350998, -0.1196366399526596, -0.17306862771511078, -0.2613455355167389, 0.04949678108096123, 0.3489304184913635, 0.17077204585075378, -0.21586664021015167, 0.05628488212823868, -0.09196787327528, -0.09013058990240097, 0.10917630791664124, 0.03960710018873215, -0.03717278689146042, 0.02336505800485611, -0.050861846655607224, 0.01783844456076622, 0.2286583036184311, 0.0012057656422257423, -0.0033583203330636024, 0.14061908423900604, -0.011192847043275833, 0.02935299649834633, 0.020264238119125366, -0.01999284327030182, -0.14726011455059052, 0.08167678862810135, -0.15830625593662262, -0.09149666130542755, 0.0814078226685524, -0.026867400854825974, 0.0305795855820179, 0.07872225344181061, -0.28436899185180664, 0.14690110087394714, 0.03611163794994354, -0.03488500043749809, 0.07274264097213745, 0.04874846711754799, -0.14787635207176208, -0.04410019889473915, 0.17605231702327728, -0.2913341224193573, 0.1977553516626358, 0.2154044359922409, 0.04724058136343956, 0.15385839343070984, 0.12770730257034302, 0.05745070427656174, 0.03375876322388649, 0.01091053243726492, -0.15977250039577484, -0.046741731464862823, 0.040574170649051666, 0.001961801201105118, 0.04408646747469902, 0.04968129098415375]",2024-02-17 01:34:56
face_2,"[-0.03991749510169029, 0.10491644591093063, 0.0908227413892746, -0.008847326040267944, -0.07960712909698486, -0.042521778494119644, -0.053688082844018936, 0.00014458224177360535, 0.12723200023174286, -0.03247608616948128, 0.23210051655769348, -0.014697907492518425, -0.2446957230567932, -0.028651222586631775, -0.003507627174258232, 0.09977242350578308, -0.14234806597232819, -0.06628001481294632, -0.1056591123342514, -0.1179349422454834, 0.044296085834503174, 0.011001733131706715, 0.0131568294018507, 0.005964099895209074, -0.09541729837656021, -0.2940107583999634, -0.07901164889335632, -0.12461303174495697, 0.0903143510222435, -0.18279217183589935, 0.010395172983407974, 0.02964000217616558, -0.11968293786048889, -0.03763097897171974, -0.018499260768294334, 0.02241109125316143, 0.006105402484536171, -0.09956780076026917, 0.15293844044208527, -0.03480614721775055, -0.151466965675354, -0.056745123118162155, 0.0028462838381528854, 0.2556203007698059, 0.18022345006465912, 0.04067671298980713, 0.019054628908634186, -0.053532302379608154, 0.059580810368061066, -0.2805930972099304, 0.027582716196775436, 0.1558370143175125, 0.01873459480702877, 0.11697729676961899, 0.07859192043542862, -0.1667841076850891, 0.04074300825595856, 0.09162883460521698, -0.1402018666267395, 0.0398016981780529, 0.05118858441710472, -0.09438028186559677, -0.0348590612411499, -0.11478354781866074, 0.21047230064868927, 0.06895994395017624, -0.08207542449235916, -0.12454008311033249, 0.11185845732688904, -0.1558324247598648, -0.036294132471084595, 0.10316243767738342, -0.11435894668102264, -0.16498178243637085, -0.22588521242141724, 0.09368528425693512, 0.36699917912483215, 0.19930100440979004, -0.13919590413570404, 0.03991914913058281, -0.1053084135055542, -0.014978972263634205, 0.04010719433426857, 0.022071311250329018, -0.06790884584188461, 0.0029971925541758537, -0.09384240210056305, 0.0677608773112297, 0.1655023992061615, -0.08613958954811096, 0.03404010087251663, 0.1837223768234253, -0.046676866710186005, 0.03188410773873329, -0.001710508018732071, 0.018096420913934708, -0.08234531432390213, 0.050373777747154236, -0.06457515805959702, 0.019401784986257553, 0.13476905226707458, -0.13644984364509583, 0.029162578284740448, 0.06979145109653473, -0.17401345074176788, 0.09501060843467712, -0.012585272081196308, -0.031326793134212494, 0.043887048959732056, 0.005560955032706261, -0.07175079733133316, -0.03547824174165726, 0.2355225831270218, -0.25204572081565857, 0.23794953525066376, 0.24037323892116547, 0.038678523153066635, 0.13249173760414124, 0.038171716034412384, 0.1466071605682373, -0.044453300535678864, -0.06796195358037949, -0.1310708373785019, -0.027809495106339455, 0.020307786762714386, -0.013669928535819054, -0.054414622485637665, -0.000889856368303299]",2024-02-17 01:33:24
face_3,"[-0.14454004168510437, 0.09785561263561249, 0.10691028833389282, -0.0235037412494421, -0.052949488162994385, -0.06029115617275238, -0.0003013983368873596, -0.04049569368362427, 0.11597908288240433, -0.03226354345679283, 0.19646546244621277, -0.06408512592315674, -0.23183201253414154, -0.1408458799123764, 0.023573212325572968, 0.1258970946073532, -0.08550053089857101, -0.10239220410585403, -0.033702362328767776, -0.10406675934791565, 0.027365686371922493, -0.008678102865815163, 0.012201656587421894, 0.09974099695682526, -0.1382376104593277, -0.3662717938423157, -0.04672078788280487, -0.1281954050064087, -0.06055186688899994, -0.08981123566627502, -0.0023781582713127136, 0.07897057384252548, -0.19416318833827972, -0.0919673815369606, -0.03780621290206909, 0.13910549879074097, 0.047249455004930496, -0.018941152840852737, 0.12658773362636566, -0.022739775478839874, -0.09729944169521332, -0.08787611871957779, 0.06529968976974487, 0.2519156038761139, 0.16120798885822296, 0.07034957408905029, 0.04007035493850708, -0.022493185475468636, 0.06389950960874557, -0.18741367757320404, 0.0341881588101387, 0.0760403722524643, 0.058573655784130096, 0.043198492377996445, 0.03734690323472023, -0.16728974878787994, 0.048691414296627045, 0.04298831894993782, -0.2300010621547699, 0.012710134498775005, -0.01701360195875168, -0.033459119498729706, -0.07429295033216476, -0.015130179934203625, 0.2836037576198578, 0.10798589140176773, -0.06439148634672165, -0.12078914046287537, 0.15851569175720215, -0.1973671317100525, -0.05333726853132248, 0.0532386489212513, -0.09690950065851212, -0.1250518411397934, -0.33715030550956726, 0.043892256915569305, 0.33677002787590027, 0.16090311110019684, -0.21461978554725647, 0.024051008746027946, -0.14505743980407715, -0.0046549211256206036, 0.0851297602057457, -0.0013024837244302034, -0.08183491230010986, 0.07198361307382584, -0.14019301533699036, 0.010986914858222008, 0.16258153319358826, 0.05165424197912216, -0.06251341849565506, 0.19783571362495422, 0.03343287855386734, 0.02789558470249176, 0.07042545825242996, -0.01326759159564972, -0.08896054327487946, 0.012495510280132294, -0.17226730287075043, -0.06996537744998932, 0.096976637840271, -0.06504945456981659, 0.014808179810643196, 0.09377684444189072, -0.2542836368083954, 0.10798729211091995, 0.011794975027441978, -0.018842782825231552, -0.018160993233323097, 0.054005783051252365, -0.18787290155887604, -0.05176942050457001, 0.19546379148960114, -0.2353634089231491, 0.12176019698381424, 0.18170566856861115, 0.021585701033473015, 0.1634366363286972, 0.11652929335832596, 0.08089954406023026, -0.03406529873609543, -0.06662996113300323, -0.11619407683610916, -0.02483474649488926, 0.09156475216150284, -0.039318379014730453, 0.11771971732378006, 0.07489100098609924]",2024-02-17 01:31:25
face_4,"[-0.049628470093011856, 0.09630332142114639, 0.04998991638422012, -0.05317137762904167, -0.025194959715008736, -0.043843161314725876, 0.01566026732325554, -0.048208415508270264, 0.1070144847035408, 0.01630346104502678, 0.2685997486114502, -0.040583811700344086, -0.2989084720611572, -0.11277202516794205, 0.0366075336933136, 0.04920186102390289, -0.13680969178676605, -0.060535404831171036, -0.10289718210697174, -0.020345859229564667, -0.025397781282663345, -0.016071626916527748, 0.046419937163591385, 0.01700982078909874, -0.046317704021930695, -0.3239898085594177, -0.08912959694862366, -0.15794630348682404, 0.07065145671367645, -0.11101928353309631, 0.009191744029521942, -0.026536602526903152, -0.15691697597503662, -0.10365866124629974, -0.04279601201415062, 0.032718487083911896, -0.017433974891901016, -0.09053835272789001, 0.182291179895401, 0.002689806744456291, -0.10496966540813446, -0.06368326395750046, 0.04005894064903259, 0.24459972977638245, 0.13277356326580048, 0.05973121523857117, 0.03203519806265831, 0.03514657914638519, 0.05862569808959961, -0.24677440524101257, 0.04933777451515198, 0.09080271422863007, 0.16187991201877594, 0.07001806795597076, 0.05867989733815193, -0.17938633263111115, -0.01149815320968628, 0.1304699033498764, -0.21548108756542206, 0.07204868644475937, 0.0004173046909272671, 0.05476127564907074, -0.08446686714887619, -0.08131147921085358, 0.24443763494491577, 0.11209017038345337, -0.15117467939853668, -0.08328942954540253, 0.09266446530818939, -0.17728403210639954, -0.04919913783669472, 0.09136586636304855, -0.125791996717453, -0.1529303789138794, -0.23404903709888458, 0.06598073244094849, 0.3176962733268738, 0.16188004612922668, -0.17827501893043518, -0.07143053412437439, -0.1410803645849228, -0.036933958530426025, -0.003912700340151787, 0.0014368274714797735, -0.0439196452498436, 0.05310539901256561, -0.1018926352262497, -0.04413656145334244, 0.12050104141235352, -0.03021623194217682, -0.03303389623761177, 0.20529745519161224, -0.01615026965737343, 0.0680684819817543, -0.03721821680665016, -0.026556001976132393, -0.04045906662940979, -0.0221431665122509, -0.10429736226797104, -0.010882195085287094, 0.047132425010204315, -0.0978669822216034, -0.019617650657892227, 0.054268307983875275, -0.17767120897769928, 0.09469518065452576, 0.06343752890825272, -0.010059238411486149, 0.04386888071894646, 0.03858208283782005, -0.07670246064662933, -0.07229689508676529, 0.20211322605609894, -0.28751125931739807, 0.17473101615905762, 0.2343975454568863, 0.017178867012262344, 0.0856068879365921, 0.035214658826589584, 0.050929293036460876, -0.004355608485639095, -0.01751766726374626, -0.14452295005321503, -0.09205307066440582, 0.001181397121399641, -0.028505755588412285, -0.00014998670667409897, 0.0032648006454110146]",2024-02-17 01:26:29
face_5,"[-0.11805061995983124, 0.08062301576137543, 0.06641469895839691, -0.02546006441116333, -0.11255136877298355, -0.047581885010004044, 0.07222655415534973, -0.059664998203516006, 0.16650836169719696, -0.04689105227589607, 0.18855179846286774, -0.07829450815916061, -0.23267386853694916, -0.09592799842357635, 0.034113362431526184, 0.12909424304962158, -0.13206499814987183, -0.15219390392303467, -0.13603143393993378, -0.1221795529127121, 0.006306236609816551, 0.07845169305801392, -0.03703757002949715, 0.011223764158785343, -0.11525137722492218, -0.321082204580307, -0.09701858460903168, -0.1391613632440567, 0.06419733911752701, -0.09856626391410828, 0.031196437776088715, 0.0908307284116745, -0.1605151742696762, -0.12928161025047302, 0.04848390072584152, 0.058170922100543976, -0.02220972254872322, -0.10391873121261597, 0.17129433155059814, -0.005902483128011227, -0.2014305144548416, -0.04012574255466461, 0.11793188005685806, 0.3349599838256836, 0.11250580102205276, 0.0012625760864466429, -0.011135684326291084, 0.02513981983065605, 0.08265326917171478, -0.24807779490947723, 0.014350363984704018, 0.14046305418014526, 0.1369510293006897, 0.08563368767499924, 0.08515699207782745, -0.13601064682006836, 0.07736148685216904, 0.14489613473415375, -0.2609919607639313, 0.07945616543292999, 0.1023043766617775, -0.1260073333978653, -0.06901416182518005, -0.021835705265402794, 0.21948277950286865, 0.09970296174287796, -0.07593294978141785, -0.1586925983428955, 0.15109598636627197, -0.15553675591945648, -0.04983563348650932, 0.10552889108657837, -0.13337688148021698, -0.14630109071731567, -0.24323512613773346, 0.06035088747739792, 0.4938730001449585, 0.13063298165798187, -0.15577702224254608, 0.012227362021803856, -0.1218273863196373, -0.0032407529652118683, 0.07523833960294724, 0.05970364063978195, -0.050937339663505554, -0.03524152934551239, -0.1113300696015358, 0.01903644949197769, 0.18382883071899414, -0.019261499866843224, -0.02866431325674057, 0.19159814715385437, 0.03452001512050629, -0.05405886843800545, -0.0037291948683559895, -0.028837168589234352, -0.060872726142406464, -0.00029948633164167404, -0.05731877312064171, -0.02272479236125946, 0.08661463856697083, -0.142428457736969, -0.0005354317836463451, 0.10990329831838608, -0.2248658388853073, 0.1436133086681366, 0.0496986024081707, -0.011456300504505634, 0.023473292589187622, 0.017588237300515175, -0.035033147782087326, -0.02489015832543373, 0.16386108100414276, -0.292998731136322, 0.17969775199890137, 0.20942650735378265, -0.025257747620344162, 0.14227871596813202, -0.008321477100253105, 0.0777394250035286, 0.0012835673987865448, -0.05075370892882347, -0.1577015519142151, -0.10862424969673157, 0.043487798422575, -0.02514081448316574, -0.0024405717849731445, 0.03240371495485306]",2024-02-17 01:33:24
face_6,"[-0.12436166405677795, 0.0764622688293457, 0.06599544733762741, -0.06436111778020859, -0.07047037035226822, 0.010208385065197945, -0.03346492350101471, -0.058442287147045135, 0.1401360034942627, -0.1107311025261879, 0.21690355241298676, -0.08284435421228409, -0.18229885399341583, -0.019623959437012672, -0.08232273161411285, 0.08493973314762115, -0.12304842472076416, -0.1119302362203598, -0.03721582144498825, -0.06110129505395889, 0.05438153073191643, 0.02473340928554535, -0.028920350596308708, 0.09722404927015305, -0.12759369611740112, -0.37582629919052124, -0.06365972012281418, -0.13652266561985016, 0.10367004573345184, -0.07131589949131012, -0.06875735521316528, 0.017007460817694664, -0.14620646834373474, -0.030492953956127167, 0.020528119057416916, 0.14201784133911133, -0.02644779533147812, -0.004709628410637379, 0.15999768674373627, 0.025017330422997475, -0.12416963279247284, 0.044829897582530975, 0.03129489719867706, 0.3123781383037567, 0.18170210719108582, 0.11128728836774826, 0.046274371445178986, -0.11035502701997757, 0.1074594184756279, -0.18506541848182678, 0.0732547789812088, 0.13792917132377625, 0.11536362767219543, 0.08027152717113495, 0.1003846749663353, -0.10680820792913437, 0.015066254884004593, 0.13008688390254974, -0.15765368938446045, 0.16101603209972382, 0.04524964839220047, -0.043568871915340424, 0.008057490922510624, -0.05332845821976662, 0.251386433839798, 0.0572858601808548, -0.11676082015037537, -0.11200690269470215, 0.17247694730758667, -0.21849316358566284, -0.11529581248760223, 0.030163947492837906, -0.07146403193473816, -0.13204683363437653, -0.2566136419773102, 0.0641687884926796, 0.38507577776908875, 0.2503272593021393, -0.1828996241092682, 0.06222249194979668, -0.04429963231086731, -0.035518914461135864, 0.12197387963533401, 0.12033049762248993, -0.11615907400846481, 0.003131750039756298, -0.07330860197544098, 0.0024100439622998238, 0.19567133486270905, 0.05293835327029228, 0.003504096297547221, 0.21500249207019806, -0.019848657771945, 0.0661163479089737, 0.021290132775902748, -0.007330011576414108, -0.18176698684692383, -0.003595265094190836, -0.10925813019275665, -0.100025974214077, 0.05202977731823921, -0.04029958322644234, 0.05432966351509094, 0.13445593416690826, -0.225013867020607, 0.1554293930530548, -0.08817508816719055, 9.795650839805603e-05, 0.050253480672836304, 0.08024690300226212, -0.06915625184774399, -0.017790203914046288, 0.16330814361572266, -0.2408221811056137, 0.15969011187553406, 0.1889990270137787, 0.11328395456075668, 0.11233670264482498, 0.1508973091840744, 0.015544743277132511, 0.05516555905342102, -0.005029646679759026, -0.1904064267873764, -0.054827481508255005, 0.032699596136808395, -0.07511571049690247, 0.08026304841041565, 0.02772170677781105]",2024-02-17 01:37:32
face_7,"[-0.07782838493585587, 0.05893518030643463, 0.0679226890206337, -0.0014739248435944319, -0.06875795871019363, -0.0009002601727843285, 0.032396115362644196, -0.05971229076385498, 0.1508370339870453, -0.11364534497261047, 0.16734537482261658, -0.11506032943725586, -0.22152821719646454, -0.003060274524614215, -0.014865277335047722, 0.12159119546413422, -0.07647712528705597, -0.07773322612047195, -0.07988851517438889, -0.06222689896821976, 0.014630461111664772, 0.004602058790624142, -0.02498556673526764, 0.039053939282894135, -0.04926746338605881, -0.4132940173149109, -0.05710531398653984, -0.14306998252868652, 0.06426598876714706, -0.04728567972779274, -0.022929903119802475, 0.025034256279468536, -0.1375603973865509, 0.02927587553858757, -0.04062335193157196, 0.11374033987522125, -0.029960786923766136, -0.029865603893995285, 0.190954327583313, -0.0008552651852369308, -0.1741679310798645, -0.0733613669872284, 0.03130253031849861, 0.2129705250263214, 0.1296558529138565, 0.0648542046546936, 0.024295657873153687, -0.04796455800533295, 0.08604847639799118, -0.15999355912208557, 0.031637776643037796, 0.0939456894993782, 0.15400010347366333, 0.05923454090952873, 0.09840118139982224, -0.14834187924861908, 0.05484132468700409, 0.029413990676403046, -0.18770582973957062, 0.05634147301316261, 0.03257385641336441, -0.056177254766225815, -0.03202474117279053, 0.0060243080370128155, 0.23939098417758942, 0.036480169743299484, -0.06730026006698608, -0.03574603796005249, 0.156921848654747, -0.22461913526058197, -0.009029598906636238, 0.0036332542076706886, -0.08666836470365524, -0.17376354336738586, -0.30467233061790466, 0.042873166501522064, 0.4054366946220398, 0.21529100835323334, -0.15461280941963196, 0.02349260076880455, -0.032269541174173355, -0.032108649611473083, 0.15502876043319702, 0.08288949728012085, -0.13329973816871643, 0.021675955504179, -0.11313895881175995, 0.04072883725166321, 0.14198489487171173, -0.039480336010456085, -0.0003038038266822696, 0.15618814527988434, -0.045569658279418945, 0.0691036805510521, -0.05331356078386307, -0.03868260979652405, -0.09697794914245605, 0.00862458348274231, -0.06810589879751205, -0.0478445328772068, 0.11187691241502762, -0.07762535661458969, 0.04908088594675064, 0.08736170828342438, -0.26423561573028564, 0.07749619334936142, -0.016529932618141174, -0.041297547519207, 0.05705264210700989, 0.08759059756994247, -0.13341672718524933, -0.04615841805934906, 0.19251354038715363, -0.19488917291164398, 0.1159605011343956, 0.19945989549160004, -0.026321716606616974, 0.1375328153371811, 0.10502474755048752, 0.06981972604990005, 0.003136451356112957, -0.052450571209192276, -0.19962404668331146, -0.032974790781736374, 0.03936382383108139, 0.004868610762059689, 0.04685237258672714, 0.047977495938539505]",2024-02-17 01:35:04
